; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/positions_8nt_m5/peak-motifs_positions_8nt_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-500	-480	-490	1	1	38	0.02632	0.02632	1.00000
-480	-460	-470	0	1	37	0.00000	0.02632	0.97368
-460	-440	-450	0	1	37	0.00000	0.02632	0.97368
-440	-420	-430	1	2	37	0.02632	0.05263	0.97368
-420	-400	-410	1	3	36	0.02632	0.07895	0.94737
-400	-380	-390	0	3	35	0.00000	0.07895	0.92105
-380	-360	-370	1	4	35	0.02632	0.10526	0.92105
-360	-340	-350	3	7	34	0.07895	0.18421	0.89474
-340	-320	-330	1	8	31	0.02632	0.21053	0.81579
-320	-300	-310	0	8	30	0.00000	0.21053	0.78947
-300	-280	-290	0	8	30	0.00000	0.21053	0.78947
-280	-260	-270	1	9	30	0.02632	0.23684	0.78947
-260	-240	-250	0	9	29	0.00000	0.23684	0.76316
-240	-220	-230	2	11	29	0.05263	0.28947	0.76316
-220	-200	-210	1	12	27	0.02632	0.31579	0.71053
-200	-180	-190	1	13	26	0.02632	0.34211	0.68421
-180	-160	-170	2	15	25	0.05263	0.39474	0.65789
-160	-140	-150	0	15	23	0.00000	0.39474	0.60526
-140	-120	-130	1	16	23	0.02632	0.42105	0.60526
-120	-100	-110	0	16	22	0.00000	0.42105	0.57895
-100	-80	-90	0	16	22	0.00000	0.42105	0.57895
-80	-60	-70	0	16	22	0.00000	0.42105	0.57895
-60	-40	-50	2	18	22	0.05263	0.47368	0.57895
-40	-20	-30	2	20	20	0.05263	0.52632	0.52632
-20	0	-10	0	20	18	0.00000	0.52632	0.47368
0	20	10	1	21	18	0.02632	0.55263	0.47368
20	40	30	1	22	17	0.02632	0.57895	0.44737
40	60	50	0	22	16	0.00000	0.57895	0.42105
60	80	70	1	23	16	0.02632	0.60526	0.42105
80	100	90	0	23	15	0.00000	0.60526	0.39474
100	120	110	0	23	15	0.00000	0.60526	0.39474
120	140	130	0	23	15	0.00000	0.60526	0.39474
140	160	150	0	23	15	0.00000	0.60526	0.39474
160	180	170	1	24	15	0.02632	0.63158	0.39474
180	200	190	2	26	14	0.05263	0.68421	0.36842
200	220	210	0	26	12	0.00000	0.68421	0.31579
220	240	230	0	26	12	0.00000	0.68421	0.31579
240	260	250	0	26	12	0.00000	0.68421	0.31579
260	280	270	1	27	12	0.02632	0.71053	0.31579
280	300	290	0	27	11	0.00000	0.71053	0.28947
300	320	310	0	27	11	0.00000	0.71053	0.28947
320	340	330	0	27	11	0.00000	0.71053	0.28947
340	360	350	5	32	11	0.13158	0.84211	0.28947
360	380	370	0	32	6	0.00000	0.84211	0.15789
380	400	390	0	32	6	0.00000	0.84211	0.15789
400	420	410	0	32	6	0.00000	0.84211	0.15789
420	440	430	3	35	6	0.07895	0.92105	0.15789
440	460	450	1	36	3	0.02632	0.94737	0.07895
460	480	470	1	37	2	0.02632	0.97368	0.05263
480	500	490	1	38	1	0.02632	1.00000	0.02632
; Statistics:
; -----------
; class interval     	20
; classes            	50
; count              	38
; sum                	531
; mean               	13.9737
; median class       	[-60..-40[
; var                	9.23e+04
; std                	303.794
; min                	-480.5
; max                	483.5
; range              	964
; Host name	biow
; Job started	2014-09-05.195325
; Job done	2014-09-05.195325
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
