; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-500	-480	-490	1	1	72	0.01389	0.01389	1.00000
-480	-460	-470	1	2	71	0.01389	0.02778	0.98611
-460	-440	-450	3	5	70	0.04167	0.06944	0.97222
-440	-420	-430	3	8	67	0.04167	0.11111	0.93056
-420	-400	-410	0	8	64	0.00000	0.11111	0.88889
-400	-380	-390	1	9	64	0.01389	0.12500	0.88889
-380	-360	-370	3	12	63	0.04167	0.16667	0.87500
-360	-340	-350	0	12	60	0.00000	0.16667	0.83333
-340	-320	-330	1	13	60	0.01389	0.18056	0.83333
-320	-300	-310	2	15	59	0.02778	0.20833	0.81944
-300	-280	-290	1	16	57	0.01389	0.22222	0.79167
-280	-260	-270	0	16	56	0.00000	0.22222	0.77778
-260	-240	-250	4	20	56	0.05556	0.27778	0.77778
-240	-220	-230	3	23	52	0.04167	0.31944	0.72222
-220	-200	-210	2	25	49	0.02778	0.34722	0.68056
-200	-180	-190	3	28	47	0.04167	0.38889	0.65278
-180	-160	-170	2	30	44	0.02778	0.41667	0.61111
-160	-140	-150	2	32	42	0.02778	0.44444	0.58333
-140	-120	-130	2	34	40	0.02778	0.47222	0.55556
-120	-100	-110	1	35	38	0.01389	0.48611	0.52778
-100	-80	-90	1	36	37	0.01389	0.50000	0.51389
-80	-60	-70	3	39	36	0.04167	0.54167	0.50000
-60	-40	-50	0	39	33	0.00000	0.54167	0.45833
-40	-20	-30	0	39	33	0.00000	0.54167	0.45833
-20	0	-10	2	41	33	0.02778	0.56944	0.45833
0	20	10	1	42	31	0.01389	0.58333	0.43056
20	40	30	1	43	30	0.01389	0.59722	0.41667
40	60	50	2	45	29	0.02778	0.62500	0.40278
60	80	70	0	45	27	0.00000	0.62500	0.37500
80	100	90	1	46	27	0.01389	0.63889	0.37500
100	120	110	1	47	26	0.01389	0.65278	0.36111
120	140	130	0	47	25	0.00000	0.65278	0.34722
140	160	150	1	48	25	0.01389	0.66667	0.34722
160	180	170	2	50	24	0.02778	0.69444	0.33333
180	200	190	2	52	22	0.02778	0.72222	0.30556
200	220	210	1	53	20	0.01389	0.73611	0.27778
220	240	230	1	54	19	0.01389	0.75000	0.26389
240	260	250	1	55	18	0.01389	0.76389	0.25000
260	280	270	1	56	17	0.01389	0.77778	0.23611
280	300	290	2	58	16	0.02778	0.80556	0.22222
300	320	310	4	62	14	0.05556	0.86111	0.19444
320	340	330	1	63	10	0.01389	0.87500	0.13889
340	360	350	1	64	9	0.01389	0.88889	0.12500
360	380	370	0	64	8	0.00000	0.88889	0.11111
380	400	390	3	67	8	0.04167	0.93056	0.11111
400	420	410	1	68	5	0.01389	0.94444	0.06944
420	440	430	1	69	4	0.01389	0.95833	0.05556
440	460	450	0	69	3	0.00000	0.95833	0.04167
460	480	470	2	71	3	0.02778	0.98611	0.04167
480	500	490	1	72	1	0.01389	1.00000	0.01389
; Statistics:
; -----------
; class interval     	20
; classes            	50
; count              	72
; sum                	-2305
; mean               	-32.0139
; median class       	[-120..-100[
; var                	8.22e+04
; std                	286.778
; min                	-490
; max                	494
; range              	984
; Host name	biow
; Job started	2014-09-05.205408
; Job done	2014-09-05.205408
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
