; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/positions_7nt_m5/peak-motifs_positions_7nt_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-360	-340	-350	1	1	13	0.07692	0.07692	1.00000
-340	-320	-330	0	1	12	0.00000	0.07692	0.92308
-320	-300	-310	0	1	12	0.00000	0.07692	0.92308
-300	-280	-290	0	1	12	0.00000	0.07692	0.92308
-280	-260	-270	0	1	12	0.00000	0.07692	0.92308
-260	-240	-250	0	1	12	0.00000	0.07692	0.92308
-240	-220	-230	0	1	12	0.00000	0.07692	0.92308
-220	-200	-210	0	1	12	0.00000	0.07692	0.92308
-200	-180	-190	0	1	12	0.00000	0.07692	0.92308
-180	-160	-170	1	2	12	0.07692	0.15385	0.92308
-160	-140	-150	1	3	11	0.07692	0.23077	0.84615
-140	-120	-130	0	3	10	0.00000	0.23077	0.76923
-120	-100	-110	1	4	10	0.07692	0.30769	0.76923
-100	-80	-90	0	4	9	0.00000	0.30769	0.69231
-80	-60	-70	1	5	9	0.07692	0.38462	0.69231
-60	-40	-50	0	5	8	0.00000	0.38462	0.61538
-40	-20	-30	0	5	8	0.00000	0.38462	0.61538
-20	0	-10	0	5	8	0.00000	0.38462	0.61538
0	20	10	0	5	8	0.00000	0.38462	0.61538
20	40	30	0	5	8	0.00000	0.38462	0.61538
40	60	50	0	5	8	0.00000	0.38462	0.61538
60	80	70	0	5	8	0.00000	0.38462	0.61538
80	100	90	0	5	8	0.00000	0.38462	0.61538
100	120	110	0	5	8	0.00000	0.38462	0.61538
120	140	130	0	5	8	0.00000	0.38462	0.61538
140	160	150	0	5	8	0.00000	0.38462	0.61538
160	180	170	0	5	8	0.00000	0.38462	0.61538
180	200	190	0	5	8	0.00000	0.38462	0.61538
200	220	210	0	5	8	0.00000	0.38462	0.61538
220	240	230	1	6	8	0.07692	0.46154	0.61538
240	260	250	2	8	7	0.15385	0.61538	0.53846
260	280	270	0	8	5	0.00000	0.61538	0.38462
280	300	290	0	8	5	0.00000	0.61538	0.38462
300	320	310	1	9	5	0.07692	0.69231	0.38462
320	340	330	1	10	4	0.07692	0.76923	0.30769
340	360	350	2	12	3	0.15385	0.92308	0.23077
360	380	370	1	13	1	0.07692	1.00000	0.07692
; Statistics:
; -----------
; class interval     	20
; classes            	37
; count              	13
; sum                	1599
; mean               	123
; median class       	[220..240[
; var                	5.85e+04
; std                	241.92
; min                	-345
; max                	372
; range              	717
; Host name	biow
; Job started	2014-09-05.205333
; Job done	2014-09-05.205333
; Seconds	0.21
;	user	0.21
;	system	0.02
;	cuser	0
;	csystem	0
