; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/positions_8nt_m2/peak-motifs_positions_8nt_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	2	2	23	0.08696	0.08696	1.00000
-460	-440	-450	0	2	21	0.00000	0.08696	0.91304
-440	-420	-430	1	3	21	0.04348	0.13043	0.91304
-420	-400	-410	0	3	20	0.00000	0.13043	0.86957
-400	-380	-390	0	3	20	0.00000	0.13043	0.86957
-380	-360	-370	0	3	20	0.00000	0.13043	0.86957
-360	-340	-350	0	3	20	0.00000	0.13043	0.86957
-340	-320	-330	0	3	20	0.00000	0.13043	0.86957
-320	-300	-310	0	3	20	0.00000	0.13043	0.86957
-300	-280	-290	0	3	20	0.00000	0.13043	0.86957
-280	-260	-270	0	3	20	0.00000	0.13043	0.86957
-260	-240	-250	0	3	20	0.00000	0.13043	0.86957
-240	-220	-230	2	5	20	0.08696	0.21739	0.86957
-220	-200	-210	0	5	18	0.00000	0.21739	0.78261
-200	-180	-190	0	5	18	0.00000	0.21739	0.78261
-180	-160	-170	0	5	18	0.00000	0.21739	0.78261
-160	-140	-150	0	5	18	0.00000	0.21739	0.78261
-140	-120	-130	0	5	18	0.00000	0.21739	0.78261
-120	-100	-110	1	6	18	0.04348	0.26087	0.78261
-100	-80	-90	1	7	17	0.04348	0.30435	0.73913
-80	-60	-70	0	7	16	0.00000	0.30435	0.69565
-60	-40	-50	1	8	16	0.04348	0.34783	0.69565
-40	-20	-30	0	8	15	0.00000	0.34783	0.65217
-20	0	-10	1	9	15	0.04348	0.39130	0.65217
0	20	10	0	9	14	0.00000	0.39130	0.60870
20	40	30	0	9	14	0.00000	0.39130	0.60870
40	60	50	1	10	14	0.04348	0.43478	0.60870
60	80	70	2	12	13	0.08696	0.52174	0.56522
80	100	90	0	12	11	0.00000	0.52174	0.47826
100	120	110	0	12	11	0.00000	0.52174	0.47826
120	140	130	0	12	11	0.00000	0.52174	0.47826
140	160	150	0	12	11	0.00000	0.52174	0.47826
160	180	170	0	12	11	0.00000	0.52174	0.47826
180	200	190	0	12	11	0.00000	0.52174	0.47826
200	220	210	1	13	11	0.04348	0.56522	0.47826
220	240	230	1	14	10	0.04348	0.60870	0.43478
240	260	250	0	14	9	0.00000	0.60870	0.39130
260	280	270	2	16	9	0.08696	0.69565	0.39130
280	300	290	2	18	7	0.08696	0.78261	0.30435
300	320	310	0	18	5	0.00000	0.78261	0.21739
320	340	330	0	18	5	0.00000	0.78261	0.21739
340	360	350	0	18	5	0.00000	0.78261	0.21739
360	380	370	1	19	5	0.04348	0.82609	0.21739
380	400	390	0	19	4	0.00000	0.82609	0.17391
400	420	410	2	21	4	0.08696	0.91304	0.17391
420	440	430	2	23	2	0.08696	1.00000	0.08696
; Statistics:
; -----------
; class interval     	20
; classes            	46
; count              	23
; sum                	1689
; mean               	73.4348
; median class       	[40..60[
; var                	8.18e+04
; std                	285.994
; min                	-471
; max                	424
; range              	895
; Host name	biow
; Job started	2014-09-05.195313
; Job done	2014-09-05.195313
; Seconds	0.21
;	user	0.21
;	system	0.02
;	cuser	0
;	csystem	0
