; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/positions_8nt_m4/peak-motifs_positions_8nt_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-360	-340	-350	1	1	30	0.03333	0.03333	1.00000
-340	-320	-330	0	1	29	0.00000	0.03333	0.96667
-320	-300	-310	0	1	29	0.00000	0.03333	0.96667
-300	-280	-290	1	2	29	0.03333	0.06667	0.96667
-280	-260	-270	2	4	28	0.06667	0.13333	0.93333
-260	-240	-250	1	5	26	0.03333	0.16667	0.86667
-240	-220	-230	0	5	25	0.00000	0.16667	0.83333
-220	-200	-210	0	5	25	0.00000	0.16667	0.83333
-200	-180	-190	0	5	25	0.00000	0.16667	0.83333
-180	-160	-170	0	5	25	0.00000	0.16667	0.83333
-160	-140	-150	0	5	25	0.00000	0.16667	0.83333
-140	-120	-130	0	5	25	0.00000	0.16667	0.83333
-120	-100	-110	0	5	25	0.00000	0.16667	0.83333
-100	-80	-90	1	6	25	0.03333	0.20000	0.83333
-80	-60	-70	1	7	24	0.03333	0.23333	0.80000
-60	-40	-50	0	7	23	0.00000	0.23333	0.76667
-40	-20	-30	0	7	23	0.00000	0.23333	0.76667
-20	0	-10	3	10	23	0.10000	0.33333	0.76667
0	20	10	2	12	20	0.06667	0.40000	0.66667
20	40	30	3	15	18	0.10000	0.50000	0.60000
40	60	50	0	15	15	0.00000	0.50000	0.50000
60	80	70	0	15	15	0.00000	0.50000	0.50000
80	100	90	1	16	15	0.03333	0.53333	0.50000
100	120	110	0	16	14	0.00000	0.53333	0.46667
120	140	130	0	16	14	0.00000	0.53333	0.46667
140	160	150	1	17	14	0.03333	0.56667	0.46667
160	180	170	0	17	13	0.00000	0.56667	0.43333
180	200	190	0	17	13	0.00000	0.56667	0.43333
200	220	210	0	17	13	0.00000	0.56667	0.43333
220	240	230	0	17	13	0.00000	0.56667	0.43333
240	260	250	1	18	13	0.03333	0.60000	0.43333
260	280	270	1	19	12	0.03333	0.63333	0.40000
280	300	290	1	20	11	0.03333	0.66667	0.36667
300	320	310	1	21	10	0.03333	0.70000	0.33333
320	340	330	2	23	9	0.06667	0.76667	0.30000
340	360	350	2	25	7	0.06667	0.83333	0.23333
360	380	370	1	26	5	0.03333	0.86667	0.16667
380	400	390	1	27	4	0.03333	0.90000	0.13333
400	420	410	0	27	3	0.00000	0.90000	0.10000
420	440	430	2	29	3	0.06667	0.96667	0.10000
440	460	450	1	30	1	0.03333	1.00000	0.03333
; Statistics:
; -----------
; class interval     	20
; classes            	41
; count              	30
; sum                	3288
; mean               	109.6
; median class       	[60..80[
; var                	5.94e+04
; std                	243.817
; min                	-356.5
; max                	444.5
; range              	801
; Host name	biow
; Job started	2014-09-05.205350
; Job done	2014-09-05.205350
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
