; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/dyads_m5/peak-motifs_dyads_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-500	-480	-490	1	1	47	0.02128	0.02128	1.00000
-480	-460	-470	1	2	46	0.02128	0.04255	0.97872
-460	-440	-450	3	5	45	0.06383	0.10638	0.95745
-440	-420	-430	1	6	42	0.02128	0.12766	0.89362
-420	-400	-410	3	9	41	0.06383	0.19149	0.87234
-400	-380	-390	0	9	38	0.00000	0.19149	0.80851
-380	-360	-370	2	11	38	0.04255	0.23404	0.80851
-360	-340	-350	0	11	36	0.00000	0.23404	0.76596
-340	-320	-330	2	13	36	0.04255	0.27660	0.76596
-320	-300	-310	3	16	34	0.06383	0.34043	0.72340
-300	-280	-290	0	16	31	0.00000	0.34043	0.65957
-280	-260	-270	1	17	31	0.02128	0.36170	0.65957
-260	-240	-250	1	18	30	0.02128	0.38298	0.63830
-240	-220	-230	2	20	29	0.04255	0.42553	0.61702
-220	-200	-210	0	20	27	0.00000	0.42553	0.57447
-200	-180	-190	0	20	27	0.00000	0.42553	0.57447
-180	-160	-170	0	20	27	0.00000	0.42553	0.57447
-160	-140	-150	1	21	27	0.02128	0.44681	0.57447
-140	-120	-130	1	22	26	0.02128	0.46809	0.55319
-120	-100	-110	0	22	25	0.00000	0.46809	0.53191
-100	-80	-90	1	23	25	0.02128	0.48936	0.53191
-80	-60	-70	1	24	24	0.02128	0.51064	0.51064
-60	-40	-50	0	24	23	0.00000	0.51064	0.48936
-40	-20	-30	0	24	23	0.00000	0.51064	0.48936
-20	0	-10	1	25	23	0.02128	0.53191	0.48936
0	20	10	0	25	22	0.00000	0.53191	0.46809
20	40	30	0	25	22	0.00000	0.53191	0.46809
40	60	50	1	26	22	0.02128	0.55319	0.46809
60	80	70	0	26	21	0.00000	0.55319	0.44681
80	100	90	0	26	21	0.00000	0.55319	0.44681
100	120	110	0	26	21	0.00000	0.55319	0.44681
120	140	130	0	26	21	0.00000	0.55319	0.44681
140	160	150	3	29	21	0.06383	0.61702	0.44681
160	180	170	0	29	18	0.00000	0.61702	0.38298
180	200	190	0	29	18	0.00000	0.61702	0.38298
200	220	210	1	30	18	0.02128	0.63830	0.38298
220	240	230	1	31	17	0.02128	0.65957	0.36170
240	260	250	2	33	16	0.04255	0.70213	0.34043
260	280	270	1	34	14	0.02128	0.72340	0.29787
280	300	290	1	35	13	0.02128	0.74468	0.27660
300	320	310	1	36	12	0.02128	0.76596	0.25532
320	340	330	1	37	11	0.02128	0.78723	0.23404
340	360	350	2	39	10	0.04255	0.82979	0.21277
360	380	370	1	40	8	0.02128	0.85106	0.17021
380	400	390	3	43	7	0.06383	0.91489	0.14894
400	420	410	1	44	4	0.02128	0.93617	0.08511
420	440	430	0	44	3	0.00000	0.93617	0.06383
440	460	450	0	44	3	0.00000	0.93617	0.06383
460	480	470	2	46	3	0.04255	0.97872	0.06383
480	500	490	1	47	1	0.02128	1.00000	0.02128
; Statistics:
; -----------
; class interval     	20
; classes            	50
; count              	47
; sum                	-1062.5
; mean               	-22.6064
; median class       	[-100..-80[
; var                	1.1e+05
; std                	331.106
; min                	-482.5
; max                	488.5
; range              	971
; Host name	biow
; Job started	2014-09-05.205415
; Job done	2014-09-05.205415
; Seconds	0.22
;	user	0.22
;	system	0.02
;	cuser	0
;	csystem	0
