; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/positions_6nt_m1/peak-motifs_positions_6nt_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	1	1	18	0.05556	0.05556	1.00000
-460	-440	-450	0	1	17	0.00000	0.05556	0.94444
-440	-420	-430	0	1	17	0.00000	0.05556	0.94444
-420	-400	-410	0	1	17	0.00000	0.05556	0.94444
-400	-380	-390	0	1	17	0.00000	0.05556	0.94444
-380	-360	-370	0	1	17	0.00000	0.05556	0.94444
-360	-340	-350	0	1	17	0.00000	0.05556	0.94444
-340	-320	-330	1	2	17	0.05556	0.11111	0.94444
-320	-300	-310	0	2	16	0.00000	0.11111	0.88889
-300	-280	-290	1	3	16	0.05556	0.16667	0.88889
-280	-260	-270	1	4	15	0.05556	0.22222	0.83333
-260	-240	-250	0	4	14	0.00000	0.22222	0.77778
-240	-220	-230	0	4	14	0.00000	0.22222	0.77778
-220	-200	-210	0	4	14	0.00000	0.22222	0.77778
-200	-180	-190	0	4	14	0.00000	0.22222	0.77778
-180	-160	-170	0	4	14	0.00000	0.22222	0.77778
-160	-140	-150	0	4	14	0.00000	0.22222	0.77778
-140	-120	-130	0	4	14	0.00000	0.22222	0.77778
-120	-100	-110	0	4	14	0.00000	0.22222	0.77778
-100	-80	-90	1	5	14	0.05556	0.27778	0.77778
-80	-60	-70	1	6	13	0.05556	0.33333	0.72222
-60	-40	-50	0	6	12	0.00000	0.33333	0.66667
-40	-20	-30	0	6	12	0.00000	0.33333	0.66667
-20	0	-10	1	7	12	0.05556	0.38889	0.66667
0	20	10	1	8	11	0.05556	0.44444	0.61111
20	40	30	1	9	10	0.05556	0.50000	0.55556
40	60	50	1	10	9	0.05556	0.55556	0.50000
60	80	70	1	11	8	0.05556	0.61111	0.44444
80	100	90	0	11	7	0.00000	0.61111	0.38889
100	120	110	0	11	7	0.00000	0.61111	0.38889
120	140	130	0	11	7	0.00000	0.61111	0.38889
140	160	150	2	13	7	0.11111	0.72222	0.38889
160	180	170	1	14	5	0.05556	0.77778	0.27778
180	200	190	0	14	4	0.00000	0.77778	0.22222
200	220	210	0	14	4	0.00000	0.77778	0.22222
220	240	230	0	14	4	0.00000	0.77778	0.22222
240	260	250	1	15	4	0.05556	0.83333	0.22222
260	280	270	1	16	3	0.05556	0.88889	0.16667
280	300	290	0	16	2	0.00000	0.88889	0.11111
300	320	310	0	16	2	0.00000	0.88889	0.11111
320	340	330	0	16	2	0.00000	0.88889	0.11111
340	360	350	0	16	2	0.00000	0.88889	0.11111
360	380	370	1	17	2	0.05556	0.94444	0.11111
380	400	390	1	18	1	0.05556	1.00000	0.05556
; Statistics:
; -----------
; class interval     	20
; classes            	44
; count              	18
; sum                	401
; mean               	22.2778
; median class       	[0..20[
; var                	5.67e+04
; std                	238.099
; min                	-479.5
; max                	396.5
; range              	876
; Host name	biow
; Job started	2014-09-05.195242
; Job done	2014-09-05.195242
; Seconds	0.21
;	user	0.21
;	system	0.02
;	cuser	0
;	csystem	0
