; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/dyads_m4/peak-motifs_dyads_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	1	1	53	0.01887	0.01887	1.00000
-460	-440	-450	1	2	52	0.01887	0.03774	0.98113
-440	-420	-430	3	5	51	0.05660	0.09434	0.96226
-420	-400	-410	2	7	48	0.03774	0.13208	0.90566
-400	-380	-390	1	8	46	0.01887	0.15094	0.86792
-380	-360	-370	0	8	45	0.00000	0.15094	0.84906
-360	-340	-350	0	8	45	0.00000	0.15094	0.84906
-340	-320	-330	2	10	45	0.03774	0.18868	0.84906
-320	-300	-310	3	13	43	0.05660	0.24528	0.81132
-300	-280	-290	0	13	40	0.00000	0.24528	0.75472
-280	-260	-270	1	14	40	0.01887	0.26415	0.75472
-260	-240	-250	0	14	39	0.00000	0.26415	0.73585
-240	-220	-230	0	14	39	0.00000	0.26415	0.73585
-220	-200	-210	0	14	39	0.00000	0.26415	0.73585
-200	-180	-190	0	14	39	0.00000	0.26415	0.73585
-180	-160	-170	1	15	39	0.01887	0.28302	0.73585
-160	-140	-150	1	16	38	0.01887	0.30189	0.71698
-140	-120	-130	3	19	37	0.05660	0.35849	0.69811
-120	-100	-110	1	20	34	0.01887	0.37736	0.64151
-100	-80	-90	4	24	33	0.07547	0.45283	0.62264
-80	-60	-70	1	25	29	0.01887	0.47170	0.54717
-60	-40	-50	0	25	28	0.00000	0.47170	0.52830
-40	-20	-30	1	26	28	0.01887	0.49057	0.52830
-20	0	-10	2	28	27	0.03774	0.52830	0.50943
0	20	10	1	29	25	0.01887	0.54717	0.47170
20	40	30	2	31	24	0.03774	0.58491	0.45283
40	60	50	1	32	22	0.01887	0.60377	0.41509
60	80	70	2	34	21	0.03774	0.64151	0.39623
80	100	90	1	35	19	0.01887	0.66038	0.35849
100	120	110	0	35	18	0.00000	0.66038	0.33962
120	140	130	0	35	18	0.00000	0.66038	0.33962
140	160	150	0	35	18	0.00000	0.66038	0.33962
160	180	170	1	36	18	0.01887	0.67925	0.33962
180	200	190	0	36	17	0.00000	0.67925	0.32075
200	220	210	2	38	17	0.03774	0.71698	0.32075
220	240	230	1	39	15	0.01887	0.73585	0.28302
240	260	250	3	42	14	0.05660	0.79245	0.26415
260	280	270	1	43	11	0.01887	0.81132	0.20755
280	300	290	0	43	10	0.00000	0.81132	0.18868
300	320	310	1	44	10	0.01887	0.83019	0.18868
320	340	330	1	45	9	0.01887	0.84906	0.16981
340	360	350	1	46	8	0.01887	0.86792	0.15094
360	380	370	1	47	7	0.01887	0.88679	0.13208
380	400	390	1	48	6	0.01887	0.90566	0.11321
400	420	410	1	49	5	0.01887	0.92453	0.09434
420	440	430	2	51	4	0.03774	0.96226	0.07547
440	460	450	1	52	2	0.01887	0.98113	0.03774
460	480	470	0	52	1	0.00000	0.98113	0.01887
480	500	490	1	53	1	0.01887	1.00000	0.01887
; Statistics:
; -----------
; class interval     	20
; classes            	49
; count              	53
; sum                	-555
; mean               	-10.4717
; median class       	[-40..-20[
; var                	8.01e+04
; std                	283.05
; min                	-477
; max                	489
; range              	966
; Host name	biow
; Job started	2014-09-05.205411
; Job done	2014-09-05.205411
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
