; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/positions_7nt_m4/peak-motifs_positions_7nt_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-500	-480	-490	1	1	25	0.04000	0.04000	1.00000
-480	-460	-470	0	1	24	0.00000	0.04000	0.96000
-460	-440	-450	0	1	24	0.00000	0.04000	0.96000
-440	-420	-430	1	2	24	0.04000	0.08000	0.96000
-420	-400	-410	0	2	23	0.00000	0.08000	0.92000
-400	-380	-390	0	2	23	0.00000	0.08000	0.92000
-380	-360	-370	0	2	23	0.00000	0.08000	0.92000
-360	-340	-350	1	3	23	0.04000	0.12000	0.92000
-340	-320	-330	0	3	22	0.00000	0.12000	0.88000
-320	-300	-310	0	3	22	0.00000	0.12000	0.88000
-300	-280	-290	0	3	22	0.00000	0.12000	0.88000
-280	-260	-270	0	3	22	0.00000	0.12000	0.88000
-260	-240	-250	1	4	22	0.04000	0.16000	0.88000
-240	-220	-230	2	6	21	0.08000	0.24000	0.84000
-220	-200	-210	1	7	19	0.04000	0.28000	0.76000
-200	-180	-190	0	7	18	0.00000	0.28000	0.72000
-180	-160	-170	0	7	18	0.00000	0.28000	0.72000
-160	-140	-150	0	7	18	0.00000	0.28000	0.72000
-140	-120	-130	0	7	18	0.00000	0.28000	0.72000
-120	-100	-110	1	8	18	0.04000	0.32000	0.72000
-100	-80	-90	0	8	17	0.00000	0.32000	0.68000
-80	-60	-70	0	8	17	0.00000	0.32000	0.68000
-60	-40	-50	0	8	17	0.00000	0.32000	0.68000
-40	-20	-30	0	8	17	0.00000	0.32000	0.68000
-20	0	-10	1	9	17	0.04000	0.36000	0.68000
0	20	10	0	9	16	0.00000	0.36000	0.64000
20	40	30	0	9	16	0.00000	0.36000	0.64000
40	60	50	0	9	16	0.00000	0.36000	0.64000
60	80	70	0	9	16	0.00000	0.36000	0.64000
80	100	90	0	9	16	0.00000	0.36000	0.64000
100	120	110	1	10	16	0.04000	0.40000	0.64000
120	140	130	0	10	15	0.00000	0.40000	0.60000
140	160	150	3	13	15	0.12000	0.52000	0.60000
160	180	170	0	13	12	0.00000	0.52000	0.48000
180	200	190	1	14	12	0.04000	0.56000	0.48000
200	220	210	2	16	11	0.08000	0.64000	0.44000
220	240	230	0	16	9	0.00000	0.64000	0.36000
240	260	250	1	17	9	0.04000	0.68000	0.36000
260	280	270	0	17	8	0.00000	0.68000	0.32000
280	300	290	1	18	8	0.04000	0.72000	0.32000
300	320	310	1	19	7	0.04000	0.76000	0.28000
320	340	330	2	21	6	0.08000	0.84000	0.24000
340	360	350	0	21	4	0.00000	0.84000	0.16000
360	380	370	2	23	4	0.08000	0.92000	0.16000
380	400	390	1	24	2	0.04000	0.96000	0.08000
400	420	410	0	24	1	0.00000	0.96000	0.04000
420	440	430	1	25	1	0.04000	1.00000	0.04000
; Statistics:
; -----------
; class interval     	20
; classes            	47
; count              	25
; sum                	1948.5
; mean               	77.94
; median class       	[120..140[
; var                	7.53e+04
; std                	274.409
; min                	-484.5
; max                	432.5
; range              	917
; Host name	biow
; Job started	2014-09-05.195301
; Job done	2014-09-05.195301
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
