; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/dyads_m2/peak-motifs_dyads_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-500	-480	-490	2	2	54	0.03704	0.03704	1.00000
-480	-460	-470	0	2	52	0.00000	0.03704	0.96296
-460	-440	-450	0	2	52	0.00000	0.03704	0.96296
-440	-420	-430	1	3	52	0.01852	0.05556	0.96296
-420	-400	-410	0	3	51	0.00000	0.05556	0.94444
-400	-380	-390	1	4	51	0.01852	0.07407	0.94444
-380	-360	-370	1	5	50	0.01852	0.09259	0.92593
-360	-340	-350	3	8	49	0.05556	0.14815	0.90741
-340	-320	-330	0	8	46	0.00000	0.14815	0.85185
-320	-300	-310	4	12	46	0.07407	0.22222	0.85185
-300	-280	-290	0	12	42	0.00000	0.22222	0.77778
-280	-260	-270	0	12	42	0.00000	0.22222	0.77778
-260	-240	-250	2	14	42	0.03704	0.25926	0.77778
-240	-220	-230	1	15	40	0.01852	0.27778	0.74074
-220	-200	-210	1	16	39	0.01852	0.29630	0.72222
-200	-180	-190	1	17	38	0.01852	0.31481	0.70370
-180	-160	-170	1	18	37	0.01852	0.33333	0.68519
-160	-140	-150	2	20	36	0.03704	0.37037	0.66667
-140	-120	-130	0	20	34	0.00000	0.37037	0.62963
-120	-100	-110	2	22	34	0.03704	0.40741	0.62963
-100	-80	-90	1	23	32	0.01852	0.42593	0.59259
-80	-60	-70	0	23	31	0.00000	0.42593	0.57407
-60	-40	-50	1	24	31	0.01852	0.44444	0.57407
-40	-20	-30	1	25	30	0.01852	0.46296	0.55556
-20	0	-10	0	25	29	0.00000	0.46296	0.53704
0	20	10	1	26	29	0.01852	0.48148	0.53704
20	40	30	2	28	28	0.03704	0.51852	0.51852
40	60	50	1	29	26	0.01852	0.53704	0.48148
60	80	70	1	30	25	0.01852	0.55556	0.46296
80	100	90	1	31	24	0.01852	0.57407	0.44444
100	120	110	1	32	23	0.01852	0.59259	0.42593
120	140	130	1	33	22	0.01852	0.61111	0.40741
140	160	150	1	34	21	0.01852	0.62963	0.38889
160	180	170	1	35	20	0.01852	0.64815	0.37037
180	200	190	2	37	19	0.03704	0.68519	0.35185
200	220	210	0	37	17	0.00000	0.68519	0.31481
220	240	230	2	39	17	0.03704	0.72222	0.31481
240	260	250	2	41	15	0.03704	0.75926	0.27778
260	280	270	1	42	13	0.01852	0.77778	0.24074
280	300	290	0	42	12	0.00000	0.77778	0.22222
300	320	310	0	42	12	0.00000	0.77778	0.22222
320	340	330	0	42	12	0.00000	0.77778	0.22222
340	360	350	1	43	12	0.01852	0.79630	0.22222
360	380	370	1	44	11	0.01852	0.81481	0.20370
380	400	390	0	44	10	0.00000	0.81481	0.18519
400	420	410	1	45	10	0.01852	0.83333	0.18519
420	440	430	1	46	9	0.01852	0.85185	0.16667
440	460	450	2	48	8	0.03704	0.88889	0.14815
460	480	470	3	51	6	0.05556	0.94444	0.11111
480	500	490	3	54	3	0.05556	1.00000	0.05556
; Statistics:
; -----------
; class interval     	20
; classes            	50
; count              	54
; sum                	1314
; mean               	24.3333
; median class       	[0..20[
; var                	9.1e+04
; std                	301.711
; min                	-488
; max                	486
; range              	974
; Host name	biow
; Job started	2014-09-05.205403
; Job done	2014-09-05.205403
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
