; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/positions_7nt_m3/peak-motifs_positions_7nt_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-460	-440	-450	1	1	16	0.06250	0.06250	1.00000
-440	-420	-430	0	1	15	0.00000	0.06250	0.93750
-420	-400	-410	0	1	15	0.00000	0.06250	0.93750
-400	-380	-390	0	1	15	0.00000	0.06250	0.93750
-380	-360	-370	0	1	15	0.00000	0.06250	0.93750
-360	-340	-350	1	2	15	0.06250	0.12500	0.93750
-340	-320	-330	0	2	14	0.00000	0.12500	0.87500
-320	-300	-310	0	2	14	0.00000	0.12500	0.87500
-300	-280	-290	1	3	14	0.06250	0.18750	0.87500
-280	-260	-270	1	4	13	0.06250	0.25000	0.81250
-260	-240	-250	1	5	12	0.06250	0.31250	0.75000
-240	-220	-230	0	5	11	0.00000	0.31250	0.68750
-220	-200	-210	0	5	11	0.00000	0.31250	0.68750
-200	-180	-190	0	5	11	0.00000	0.31250	0.68750
-180	-160	-170	0	5	11	0.00000	0.31250	0.68750
-160	-140	-150	0	5	11	0.00000	0.31250	0.68750
-140	-120	-130	1	6	11	0.06250	0.37500	0.68750
-120	-100	-110	0	6	10	0.00000	0.37500	0.62500
-100	-80	-90	0	6	10	0.00000	0.37500	0.62500
-80	-60	-70	0	6	10	0.00000	0.37500	0.62500
-60	-40	-50	0	6	10	0.00000	0.37500	0.62500
-40	-20	-30	0	6	10	0.00000	0.37500	0.62500
-20	0	-10	0	6	10	0.00000	0.37500	0.62500
0	20	10	0	6	10	0.00000	0.37500	0.62500
20	40	30	0	6	10	0.00000	0.37500	0.62500
40	60	50	0	6	10	0.00000	0.37500	0.62500
60	80	70	0	6	10	0.00000	0.37500	0.62500
80	100	90	0	6	10	0.00000	0.37500	0.62500
100	120	110	0	6	10	0.00000	0.37500	0.62500
120	140	130	0	6	10	0.00000	0.37500	0.62500
140	160	150	0	6	10	0.00000	0.37500	0.62500
160	180	170	2	8	10	0.12500	0.50000	0.62500
180	200	190	4	12	8	0.25000	0.75000	0.50000
200	220	210	1	13	4	0.06250	0.81250	0.25000
220	240	230	2	15	3	0.12500	0.93750	0.18750
240	260	250	1	16	1	0.06250	1.00000	0.06250
; Statistics:
; -----------
; class interval     	20
; classes            	36
; count              	16
; sum                	300
; mean               	18.75
; median class       	[160..180[
; var                	6.07e+04
; std                	246.413
; min                	-454
; max                	244
; range              	698
; Host name	biow
; Job started	2014-09-05.195258
; Job done	2014-09-05.195258
; Seconds	0.21
;	user	0.21
;	system	0.02
;	cuser	0
;	csystem	0
